idx,seed,cosine_similarity_achieved,delta_L2,src_start,src_len,replaced_token_indices,clip_cos_replaced,clip_cos_baseline,img_replaced_path,img_baseline_path
79,72074,0.865541,281.842834,5,1,[5],0.273918,0.253312,/data/pwojcik/UnGuide/random_replacements_cat/idx079_seed72074_cos0.866_clip0.274_ref0.253.png,/data/pwojcik/UnGuide/random_replacements_cat/idx079_seed72074_BASELINE_clip0.253.png
80,72075,0.958538,280.404144,5,1,[5],0.311472,0.280235,/data/pwojcik/UnGuide/random_replacements_cat/idx080_seed72075_cos0.959_clip0.311_ref0.280.png,/data/pwojcik/UnGuide/random_replacements_cat/idx080_seed72075_BASELINE_clip0.280.png
81,72076,0.384962,309.507507,5,1,[5],0.281830,0.278039,/data/pwojcik/UnGuide/random_replacements_cat/idx081_seed72076_cos0.385_clip0.282_ref0.278.png,/data/pwojcik/UnGuide/random_replacements_cat/idx081_seed72076_BASELINE_clip0.278.png
82,72077,0.934028,280.687134,5,1,[5],0.295314,0.274687,/data/pwojcik/UnGuide/random_replacements_cat/idx082_seed72077_cos0.934_clip0.295_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx082_seed72077_BASELINE_clip0.275.png
83,72078,0.439494,312.271149,5,1,[5],0.235450,0.278350,/data/pwojcik/UnGuide/random_replacements_cat/idx083_seed72078_cos0.439_clip0.235_ref0.278.png,/data/pwojcik/UnGuide/random_replacements_cat/idx083_seed72078_BASELINE_clip0.278.png
84,72079,0.620550,312.194214,5,1,[5],0.292489,0.271207,/data/pwojcik/UnGuide/random_replacements_cat/idx084_seed72079_cos0.621_clip0.292_ref0.271.png,/data/pwojcik/UnGuide/random_replacements_cat/idx084_seed72079_BASELINE_clip0.271.png
85,72080,0.423245,312.948639,5,1,[5],0.248448,0.300977,/data/pwojcik/UnGuide/random_replacements_cat/idx085_seed72080_cos0.423_clip0.248_ref0.301.png,/data/pwojcik/UnGuide/random_replacements_cat/idx085_seed72080_BASELINE_clip0.301.png
86,72081,0.690274,302.531158,5,1,[5],0.252067,0.267147,/data/pwojcik/UnGuide/random_replacements_cat/idx086_seed72081_cos0.690_clip0.252_ref0.267.png,/data/pwojcik/UnGuide/random_replacements_cat/idx086_seed72081_BASELINE_clip0.267.png
87,72082,0.576884,302.443604,5,1,[5],0.271546,0.262303,/data/pwojcik/UnGuide/random_replacements_cat/idx087_seed72082_cos0.577_clip0.272_ref0.262.png,/data/pwojcik/UnGuide/random_replacements_cat/idx087_seed72082_BASELINE_clip0.262.png
88,72083,0.553532,309.058044,5,1,[5],0.225634,0.273616,/data/pwojcik/UnGuide/random_replacements_cat/idx088_seed72083_cos0.554_clip0.226_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx088_seed72083_BASELINE_clip0.274.png
89,72084,0.613766,306.340485,5,1,[5],0.265294,0.294201,/data/pwojcik/UnGuide/random_replacements_cat/idx089_seed72084_cos0.614_clip0.265_ref0.294.png,/data/pwojcik/UnGuide/random_replacements_cat/idx089_seed72084_BASELINE_clip0.294.png
90,72085,0.469315,309.062012,5,1,[5],0.269540,0.272444,/data/pwojcik/UnGuide/random_replacements_cat/idx090_seed72085_cos0.469_clip0.270_ref0.272.png,/data/pwojcik/UnGuide/random_replacements_cat/idx090_seed72085_BASELINE_clip0.272.png
91,72086,0.901241,281.392792,5,1,[5],0.276299,0.283810,/data/pwojcik/UnGuide/random_replacements_cat/idx091_seed72086_cos0.901_clip0.276_ref0.284.png,/data/pwojcik/UnGuide/random_replacements_cat/idx091_seed72086_BASELINE_clip0.284.png
92,72087,0.882823,283.578369,5,1,[5],0.285262,0.282068,/data/pwojcik/UnGuide/random_replacements_cat/idx092_seed72087_cos0.883_clip0.285_ref0.282.png,/data/pwojcik/UnGuide/random_replacements_cat/idx092_seed72087_BASELINE_clip0.282.png
93,72088,0.967484,277.713074,5,1,[5],0.276841,0.259912,/data/pwojcik/UnGuide/random_replacements_cat/idx093_seed72088_cos0.967_clip0.277_ref0.260.png,/data/pwojcik/UnGuide/random_replacements_cat/idx093_seed72088_BASELINE_clip0.260.png
94,72089,0.977906,277.004639,5,1,[5],0.280453,0.260804,/data/pwojcik/UnGuide/random_replacements_cat/idx094_seed72089_cos0.978_clip0.280_ref0.261.png,/data/pwojcik/UnGuide/random_replacements_cat/idx094_seed72089_BASELINE_clip0.261.png
95,72090,0.721263,298.117371,5,1,[5],0.291457,0.275962,/data/pwojcik/UnGuide/random_replacements_cat/idx095_seed72090_cos0.721_clip0.291_ref0.276.png,/data/pwojcik/UnGuide/random_replacements_cat/idx095_seed72090_BASELINE_clip0.276.png
96,72091,0.431082,308.972015,5,1,[5],0.239505,0.269878,/data/pwojcik/UnGuide/random_replacements_cat/idx096_seed72091_cos0.431_clip0.240_ref0.270.png,/data/pwojcik/UnGuide/random_replacements_cat/idx096_seed72091_BASELINE_clip0.270.png
97,72092,0.369075,326.516388,5,1,[5],0.199843,0.278018,/data/pwojcik/UnGuide/random_replacements_cat/idx097_seed72092_cos0.369_clip0.200_ref0.278.png,/data/pwojcik/UnGuide/random_replacements_cat/idx097_seed72092_BASELINE_clip0.278.png
98,72093,0.380121,318.070648,5,1,[5],0.189199,0.269258,/data/pwojcik/UnGuide/random_replacements_cat/idx098_seed72093_cos0.380_clip0.189_ref0.269.png,/data/pwojcik/UnGuide/random_replacements_cat/idx098_seed72093_BASELINE_clip0.269.png
99,72094,0.677654,298.826111,5,1,[5],0.257891,0.279402,/data/pwojcik/UnGuide/random_replacements_cat/idx099_seed72094_cos0.678_clip0.258_ref0.279.png,/data/pwojcik/UnGuide/random_replacements_cat/idx099_seed72094_BASELINE_clip0.279.png
100,72095,0.351542,321.771301,5,1,[5],0.223131,0.274349,/data/pwojcik/UnGuide/random_replacements_cat/idx100_seed72095_cos0.352_clip0.223_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx100_seed72095_BASELINE_clip0.274.png
101,72096,0.731084,300.857941,5,1,[5],0.260229,0.272159,/data/pwojcik/UnGuide/random_replacements_cat/idx101_seed72096_cos0.731_clip0.260_ref0.272.png,/data/pwojcik/UnGuide/random_replacements_cat/idx101_seed72096_BASELINE_clip0.272.png
102,72097,0.579693,300.515533,5,1,[5],0.270162,0.275713,/data/pwojcik/UnGuide/random_replacements_cat/idx102_seed72097_cos0.580_clip0.270_ref0.276.png,/data/pwojcik/UnGuide/random_replacements_cat/idx102_seed72097_BASELINE_clip0.276.png
103,72098,0.827412,285.347778,5,1,[5],0.257955,0.285462,/data/pwojcik/UnGuide/random_replacements_cat/idx103_seed72098_cos0.827_clip0.258_ref0.285.png,/data/pwojcik/UnGuide/random_replacements_cat/idx103_seed72098_BASELINE_clip0.285.png
104,72099,0.551401,307.750671,5,1,[5],0.252509,0.285945,/data/pwojcik/UnGuide/random_replacements_cat/idx104_seed72099_cos0.551_clip0.253_ref0.286.png,/data/pwojcik/UnGuide/random_replacements_cat/idx104_seed72099_BASELINE_clip0.286.png
105,72100,0.483166,310.318512,5,1,[5],0.213916,0.268074,/data/pwojcik/UnGuide/random_replacements_cat/idx105_seed72100_cos0.483_clip0.214_ref0.268.png,/data/pwojcik/UnGuide/random_replacements_cat/idx105_seed72100_BASELINE_clip0.268.png
106,72101,0.825039,287.362030,5,1,[5],0.284024,0.281328,/data/pwojcik/UnGuide/random_replacements_cat/idx106_seed72101_cos0.825_clip0.284_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx106_seed72101_BASELINE_clip0.281.png
107,72102,0.635927,315.090271,5,1,[5],0.249286,0.289629,/data/pwojcik/UnGuide/random_replacements_cat/idx107_seed72102_cos0.636_clip0.249_ref0.290.png,/data/pwojcik/UnGuide/random_replacements_cat/idx107_seed72102_BASELINE_clip0.290.png
108,72103,0.839130,282.634125,5,1,[5],0.270868,0.260524,/data/pwojcik/UnGuide/random_replacements_cat/idx108_seed72103_cos0.839_clip0.271_ref0.261.png,/data/pwojcik/UnGuide/random_replacements_cat/idx108_seed72103_BASELINE_clip0.261.png
109,72104,0.451322,304.775726,5,1,[5],0.217788,0.266510,/data/pwojcik/UnGuide/random_replacements_cat/idx109_seed72104_cos0.451_clip0.218_ref0.267.png,/data/pwojcik/UnGuide/random_replacements_cat/idx109_seed72104_BASELINE_clip0.267.png
110,72105,0.883439,285.632904,5,1,[5],0.272674,0.273969,/data/pwojcik/UnGuide/random_replacements_cat/idx110_seed72105_cos0.883_clip0.273_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx110_seed72105_BASELINE_clip0.274.png
111,72106,0.560629,307.007385,5,1,[5],0.255072,0.291413,/data/pwojcik/UnGuide/random_replacements_cat/idx111_seed72106_cos0.561_clip0.255_ref0.291.png,/data/pwojcik/UnGuide/random_replacements_cat/idx111_seed72106_BASELINE_clip0.291.png
112,72107,0.844878,284.194763,5,1,[5],0.267794,0.270157,/data/pwojcik/UnGuide/random_replacements_cat/idx112_seed72107_cos0.845_clip0.268_ref0.270.png,/data/pwojcik/UnGuide/random_replacements_cat/idx112_seed72107_BASELINE_clip0.270.png
113,72108,0.630165,306.649780,5,1,[5],0.272564,0.283087,/data/pwojcik/UnGuide/random_replacements_cat/idx113_seed72108_cos0.630_clip0.273_ref0.283.png,/data/pwojcik/UnGuide/random_replacements_cat/idx113_seed72108_BASELINE_clip0.283.png
114,72109,0.504055,320.675354,5,1,[5],0.208164,0.282553,/data/pwojcik/UnGuide/random_replacements_cat/idx114_seed72109_cos0.504_clip0.208_ref0.283.png,/data/pwojcik/UnGuide/random_replacements_cat/idx114_seed72109_BASELINE_clip0.283.png
115,72110,0.573489,304.431030,5,1,[5],0.242159,0.268873,/data/pwojcik/UnGuide/random_replacements_cat/idx115_seed72110_cos0.573_clip0.242_ref0.269.png,/data/pwojcik/UnGuide/random_replacements_cat/idx115_seed72110_BASELINE_clip0.269.png
116,72111,0.673523,296.111542,5,1,[5],0.227559,0.268045,/data/pwojcik/UnGuide/random_replacements_cat/idx116_seed72111_cos0.674_clip0.228_ref0.268.png,/data/pwojcik/UnGuide/random_replacements_cat/idx116_seed72111_BASELINE_clip0.268.png
117,72112,0.539407,313.805664,5,1,[5],0.250706,0.274219,/data/pwojcik/UnGuide/random_replacements_cat/idx117_seed72112_cos0.539_clip0.251_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx117_seed72112_BASELINE_clip0.274.png
118,72113,0.623145,302.856659,5,1,[5],0.265377,0.275033,/data/pwojcik/UnGuide/random_replacements_cat/idx118_seed72113_cos0.623_clip0.265_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx118_seed72113_BASELINE_clip0.275.png
119,72114,0.547658,311.802216,5,1,[5],0.188917,0.249265,/data/pwojcik/UnGuide/random_replacements_cat/idx119_seed72114_cos0.548_clip0.189_ref0.249.png,/data/pwojcik/UnGuide/random_replacements_cat/idx119_seed72114_BASELINE_clip0.249.png
120,72115,0.511946,307.462280,5,1,[5],0.271237,0.269570,/data/pwojcik/UnGuide/random_replacements_cat/idx120_seed72115_cos0.512_clip0.271_ref0.270.png,/data/pwojcik/UnGuide/random_replacements_cat/idx120_seed72115_BASELINE_clip0.270.png
121,72116,0.752534,298.327423,5,1,[5],0.262450,0.266964,/data/pwojcik/UnGuide/random_replacements_cat/idx121_seed72116_cos0.753_clip0.262_ref0.267.png,/data/pwojcik/UnGuide/random_replacements_cat/idx121_seed72116_BASELINE_clip0.267.png
122,72117,0.527597,311.625763,5,1,[5],0.205807,0.266088,/data/pwojcik/UnGuide/random_replacements_cat/idx122_seed72117_cos0.528_clip0.206_ref0.266.png,/data/pwojcik/UnGuide/random_replacements_cat/idx122_seed72117_BASELINE_clip0.266.png
123,72118,0.983776,278.761017,5,1,[5],0.270163,0.278691,/data/pwojcik/UnGuide/random_replacements_cat/idx123_seed72118_cos0.984_clip0.270_ref0.279.png,/data/pwojcik/UnGuide/random_replacements_cat/idx123_seed72118_BASELINE_clip0.279.png
124,72119,0.965174,282.509644,5,1,[5],0.285035,0.284125,/data/pwojcik/UnGuide/random_replacements_cat/idx124_seed72119_cos0.965_clip0.285_ref0.284.png,/data/pwojcik/UnGuide/random_replacements_cat/idx124_seed72119_BASELINE_clip0.284.png
125,72120,0.721738,302.609894,5,1,[5],0.274785,0.275268,/data/pwojcik/UnGuide/random_replacements_cat/idx125_seed72120_cos0.722_clip0.275_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx125_seed72120_BASELINE_clip0.275.png
126,72121,0.401101,318.209442,5,1,[5],0.212214,0.280745,/data/pwojcik/UnGuide/random_replacements_cat/idx126_seed72121_cos0.401_clip0.212_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx126_seed72121_BASELINE_clip0.281.png
127,72122,0.383564,318.841522,5,1,[5],0.233429,0.275645,/data/pwojcik/UnGuide/random_replacements_cat/idx127_seed72122_cos0.384_clip0.233_ref0.276.png,/data/pwojcik/UnGuide/random_replacements_cat/idx127_seed72122_BASELINE_clip0.276.png
128,72123,0.765558,299.668640,5,1,[5],0.282178,0.270897,/data/pwojcik/UnGuide/random_replacements_cat/idx128_seed72123_cos0.766_clip0.282_ref0.271.png,/data/pwojcik/UnGuide/random_replacements_cat/idx128_seed72123_BASELINE_clip0.271.png
